transaction_id,merchant_id,merchant_name,customer_id,customer_name,customer_email,amount,currency,payment_method,card_network,card_last4,status,error_code,error_message,created_at,captured_at
TXN_10020,MER_001,QuickBites Restaurant,CUST_6891,Customer 20,cust20@example.com,7385.44,INR,card,MASTERCARD,2292,captured,,,2026-09-01 08:40:00,2026-09-01 08:40:12
TXN_10021,MER_002,GreenLeaf Pharmacy,CUST_4362,Customer 21,cust21@example.com,8952.68,INR,netbanking,,,captured,,,2026-09-01 08:42:00,2026-09-01 08:42:35
TXN_10022,MER_001,QuickBites Restaurant,CUST_6224,Customer 22,cust22@example.com,464.14,INR,netbanking,,,captured,,,2026-09-01 08:44:00,2026-09-01 08:44:41
TXN_10023,MER_003,ApexRetail,CUST_5555,Customer 23,cust23@example.com,7690.99,INR,wallet,,,captured,,,2026-09-01 08:46:00,2026-09-01 08:46:40
TXN_10024,MER_004,TechCorp Inc,CUST_9399,Customer 24,cust24@example.com,21014.78,INR,wallet,,,captured,,,2026-09-01 08:48:00,2026-09-01 08:48:33
TXN_10025,MER_001,QuickBites Restaurant,CUST_1063,Customer 25,cust25@example.com,9453.15,INR,card,MASTERCARD,3394,captured,,,2026-09-01 08:50:00,2026-09-01 08:50:48
TXN_10026,MER_003,ApexRetail,CUST_4195,Customer 26,cust26@example.com,16240.39,INR,netbanking,,,captured,,,2026-09-01 08:52:00,2026-09-01 08:52:32
TXN_10027,MER_001,QuickBites Restaurant,CUST_8347,Customer 27,cust27@example.com,13729.06,INR,card,VISA,4418,captured,,,2026-09-01 08:54:00,2026-09-01 08:54:53
TXN_10028,MER_003,ApexRetail,CUST_7579,Customer 28,cust28@example.com,24093.8,INR,card,RUPAY,7793,captured,,,2026-09-01 08:56:00,2026-09-01 08:56:50
TXN_10029,MER_004,TechCorp Inc,CUST_4715,Customer 29,cust29@example.com,7693.99,INR,wallet,,,captured,,,2026-09-01 08:58:00,2026-09-01 08:58:53
TXN_10030,MER_004,TechCorp Inc,CUST_1012,Customer 30,cust30@example.com,20325.15,INR,upi,,,captured,,,2026-09-01 09:00:00,2026-09-01 09:00:51
TXN_10031,MER_003,ApexRetail,CUST_8613,Customer 31,cust31@example.com,24635.71,INR,wallet,,,captured,,,2026-09-01 09:02:00,2026-09-01 09:02:38
TXN_10032,MER_003,ApexRetail,CUST_5309,Customer 32,cust32@example.com,23263.16,INR,card,VISA,1651,captured,,,2026-09-01 09:04:00,2026-09-01 09:04:57
TXN_10033,MER_005,FakeCompany,CUST_2220,Customer 33,cust33@example.com,3164.55,INR,wallet,,,captured,,,2026-09-01 09:06:00,2026-09-01 09:06:32
TXN_10034,MER_004,TechCorp Inc,CUST_3515,Customer 34,cust34@example.com,9358.54,INR,upi,,,captured,,,2026-09-01 09:08:00,2026-09-01 09:08:44
TXN_10035,MER_001,QuickBites Restaurant,CUST_1234,Customer 35,cust35@example.com,2558.1,INR,upi,,,captured,,,2026-09-01 09:10:00,2026-09-01 09:10:19
TXN_10036,MER_005,FakeCompany,CUST_2106,Customer 36,cust36@example.com,2004.73,INR,card,VISA,6972,captured,,,2026-09-01 09:12:00,2026-09-01 09:12:59
TXN_10037,MER_001,QuickBites Restaurant,CUST_9146,Customer 37,cust37@example.com,21669.19,INR,upi,,,captured,,,2026-09-01 09:14:00,2026-09-01 09:14:54
TXN_10038,MER_003,ApexRetail,CUST_7667,Customer 38,cust38@example.com,20366.65,INR,upi,,,captured,,,2026-09-01 09:16:00,2026-09-01 09:16:16
TXN_10039,MER_005,FakeCompany,CUST_7592,Customer 39,cust39@example.com,4794.74,INR,card,RUPAY,6271,captured,,,2026-09-01 09:18:00,2026-09-01 09:18:56
TXN_10040,MER_004,TechCorp Inc,CUST_8915,Customer 40,cust40@example.com,5755.57,INR,wallet,,,captured,,,2026-09-01 09:20:00,2026-09-01 09:20:21
TXN_10041,MER_002,GreenLeaf Pharmacy,CUST_4000,Customer 41,cust41@example.com,1224.74,INR,wallet,,,captured,,,2026-09-01 09:22:00,2026-09-01 09:22:50
TXN_10042,MER_001,QuickBites Restaurant,CUST_3174,Customer 42,cust42@example.com,10792.2,INR,upi,,,captured,,,2026-09-01 09:24:00,2026-09-01 09:24:47
TXN_10043,MER_005,FakeCompany,CUST_9416,Customer 43,cust43@example.com,21036.47,INR,card,MASTERCARD,4932,captured,,,2026-09-01 09:26:00,2026-09-01 09:26:26
TXN_10044,MER_005,FakeCompany,CUST_9253,Customer 44,cust44@example.com,10678.94,INR,card,MASTERCARD,8704,captured,,,2026-09-01 09:28:00,2026-09-01 09:28:24
TXN_10045,MER_002,GreenLeaf Pharmacy,CUST_8767,Customer 45,cust45@example.com,2081.59,INR,upi,,,captured,,,2026-09-01 09:30:00,2026-09-01 09:30:48
TXN_10046,MER_002,GreenLeaf Pharmacy,CUST_6048,Customer 46,cust46@example.com,12496.37,INR,netbanking,,,captured,,,2026-09-01 09:32:00,2026-09-01 09:32:36
TXN_10047,MER_003,ApexRetail,CUST_6262,Customer 47,cust47@example.com,6372.04,INR,card,MASTERCARD,1719,captured,,,2026-09-01 09:34:00,2026-09-01 09:34:12
TXN_10048,MER_005,FakeCompany,CUST_8994,Customer 48,cust48@example.com,16996.5,INR,card,VISA,2686,captured,,,2026-09-01 09:36:00,2026-09-01 09:36:11
TXN_10049,MER_005,FakeCompany,CUST_7638,Customer 49,cust49@example.com,7890.55,INR,card,VISA,6510,captured,,,2026-09-01 09:38:00,2026-09-01 09:38:56
TXN_10050,MER_004,TechCorp Inc,CUST_2812,Customer 50,cust50@example.com,3383.93,INR,netbanking,,,captured,,,2026-09-01 09:40:00,2026-09-01 09:40:24
TXN_10051,MER_005,FakeCompany,CUST_8712,Customer 51,cust51@example.com,8309.29,INR,card,VISA,5109,captured,,,2026-09-01 09:42:00,2026-09-01 09:42:28
TXN_10052,MER_001,QuickBites Restaurant,CUST_1503,Customer 52,cust52@example.com,12008.93,INR,netbanking,,,captured,,,2026-09-01 09:44:00,2026-09-01 09:44:57
TXN_10053,MER_004,TechCorp Inc,CUST_8742,Customer 53,cust53@example.com,7220.91,INR,upi,,,captured,,,2026-09-01 09:46:00,2026-09-01 09:46:40
TXN_10054,MER_004,TechCorp Inc,CUST_8608,Customer 54,cust54@example.com,22770.11,INR,upi,,,captured,,,2026-09-01 09:48:00,2026-09-01 09:48:19
TXN_10055,MER_002,GreenLeaf Pharmacy,CUST_1519,Customer 55,cust55@example.com,19811.94,INR,card,MASTERCARD,8127,captured,,,2026-09-01 09:50:00,2026-09-01 09:50:10
TXN_10056,MER_004,TechCorp Inc,CUST_7948,Customer 56,cust56@example.com,3253.24,INR,wallet,,,captured,,,2026-09-01 09:52:00,2026-09-01 09:52:47
TXN_10057,MER_002,GreenLeaf Pharmacy,CUST_7850,Customer 57,cust57@example.com,1455.08,INR,netbanking,,,captured,,,2026-09-01 09:54:00,2026-09-01 09:54:26
TXN_10058,MER_004,TechCorp Inc,CUST_1243,Customer 58,cust58@example.com,15793.18,INR,card,MASTERCARD,8604,captured,,,2026-09-01 09:56:00,2026-09-01 09:56:10
TXN_10059,MER_001,QuickBites Restaurant,CUST_7757,Customer 59,cust59@example.com,5312.19,INR,wallet,,,captured,,,2026-09-01 09:58:00,2026-09-01 09:58:21
TXN_10060,MER_002,GreenLeaf Pharmacy,CUST_3029,Customer 60,cust60@example.com,12360.49,INR,card,RUPAY,1634,captured,,,2026-09-01 10:00:00,2026-09-01 10:00:16
TXN_10061,MER_002,GreenLeaf Pharmacy,CUST_7927,Customer 61,cust61@example.com,17695.09,INR,netbanking,,,captured,,,2026-09-01 10:02:00,2026-09-01 10:02:28
TXN_10062,MER_002,GreenLeaf Pharmacy,CUST_4728,Customer 62,cust62@example.com,5145.54,INR,wallet,,,captured,,,2026-09-01 10:04:00,2026-09-01 10:04:11
TXN_10063,MER_003,ApexRetail,CUST_9115,Customer 63,cust63@example.com,5229.57,INR,upi,,,captured,,,2026-09-01 10:06:00,2026-09-01 10:06:36
TXN_10064,MER_004,TechCorp Inc,CUST_6074,Customer 64,cust64@example.com,24712.59,INR,upi,,,captured,,,2026-09-01 10:08:00,2026-09-01 10:08:32
TXN_10065,MER_004,TechCorp Inc,CUST_8070,Customer 65,cust65@example.com,2535.75,INR,wallet,,,captured,,,2026-09-01 10:10:00,2026-09-01 10:10:40
TXN_10066,MER_005,FakeCompany,CUST_9347,Customer 66,cust66@example.com,12606.47,INR,upi,,,failed,ERR_01,Insufficient Funds,2026-09-01 10:12:00,
TXN_10067,MER_003,ApexRetail,CUST_9111,Customer 67,cust67@example.com,10081.13,INR,netbanking,,,captured,,,2026-09-01 10:14:00,2026-09-01 10:14:47
TXN_10068,MER_004,TechCorp Inc,CUST_4110,Customer 68,cust68@example.com,24249.19,INR,wallet,,,captured,,,2026-09-01 10:16:00,2026-09-01 10:16:49
TXN_10069,MER_004,TechCorp Inc,CUST_7443,Customer 69,cust69@example.com,17697.7,INR,netbanking,,,captured,,,2026-09-01 10:18:00,2026-09-01 10:18:32
TXN_10070,MER_004,TechCorp Inc,CUST_7610,Customer 70,cust70@example.com,19353.57,INR,upi,,,captured,,,2026-09-01 10:20:00,2026-09-01 10:20:35
TXN_10071,MER_004,TechCorp Inc,CUST_1994,Customer 71,cust71@example.com,7484.6,INR,wallet,,,captured,,,2026-09-01 10:22:00,2026-09-01 10:22:27
TXN_10072,MER_002,GreenLeaf Pharmacy,CUST_4940,Customer 72,cust72@example.com,6548.3,INR,upi,,,captured,,,2026-09-01 10:24:00,2026-09-01 10:24:46
TXN_10073,MER_005,FakeCompany,CUST_9158,Customer 73,cust73@example.com,19599.5,INR,netbanking,,,captured,,,2026-09-01 10:26:00,2026-09-01 10:26:50
TXN_10074,MER_004,TechCorp Inc,CUST_4650,Customer 74,cust74@example.com,1730.72,INR,netbanking,,,captured,,,2026-09-01 10:28:00,2026-09-01 10:28:29
TXN_10075,MER_005,FakeCompany,CUST_6267,Customer 75,cust75@example.com,7754.57,INR,wallet,,,captured,,,2026-09-01 10:30:00,2026-09-01 10:30:12
TXN_10076,MER_003,ApexRetail,CUST_3743,Customer 76,cust76@example.com,1573.48,INR,wallet,,,captured,,,2026-09-01 10:32:00,2026-09-01 10:32:57
TXN_10077,MER_003,ApexRetail,CUST_2320,Customer 77,cust77@example.com,8152.49,INR,netbanking,,,captured,,,2026-09-01 10:34:00,2026-09-01 10:34:43
TXN_10078,MER_002,GreenLeaf Pharmacy,CUST_5392,Customer 78,cust78@example.com,16531.24,INR,netbanking,,,captured,,,2026-09-01 10:36:00,2026-09-01 10:36:41
TXN_10079,MER_003,ApexRetail,CUST_2722,Customer 79,cust79@example.com,5555.69,INR,upi,,,captured,,,2026-09-01 10:38:00,2026-09-01 10:38:27
TXN_10080,MER_003,ApexRetail,CUST_3734,Customer 80,cust80@example.com,14309.8,INR,netbanking,,,captured,,,2026-09-01 10:40:00,2026-09-01 10:40:11
TXN_10081,MER_002,GreenLeaf Pharmacy,CUST_5521,Customer 81,cust81@example.com,9328.41,INR,netbanking,,,captured,,,2026-09-01 10:42:00,2026-09-01 10:42:15
TXN_10082,MER_002,GreenLeaf Pharmacy,CUST_2262,Customer 82,cust82@example.com,23006.11,INR,upi,,,captured,,,2026-09-01 10:44:00,2026-09-01 10:44:57
TXN_10083,MER_003,ApexRetail,CUST_1064,Customer 83,cust83@example.com,7384.42,INR,upi,,,captured,,,2026-09-01 10:46:00,2026-09-01 10:46:34
TXN_10084,MER_004,TechCorp Inc,CUST_4319,Customer 84,cust84@example.com,4375.42,INR,upi,,,captured,,,2026-09-01 10:48:00,2026-09-01 10:48:45
TXN_10085,MER_004,TechCorp Inc,CUST_9281,Customer 85,cust85@example.com,12932.05,INR,card,MASTERCARD,9151,captured,,,2026-09-01 10:50:00,2026-09-01 10:51:00
TXN_10086,MER_002,GreenLeaf Pharmacy,CUST_2743,Customer 86,cust86@example.com,1420.49,INR,netbanking,,,captured,,,2026-09-01 10:52:00,2026-09-01 10:52:52
TXN_10087,MER_005,FakeCompany,CUST_5711,Customer 87,cust87@example.com,24217.7,INR,card,VISA,6942,captured,,,2026-09-01 10:54:00,2026-09-01 10:54:17
TXN_10088,MER_005,FakeCompany,CUST_7083,Customer 88,cust88@example.com,23298.05,INR,wallet,,,captured,,,2026-09-01 10:56:00,2026-09-01 10:56:17
TXN_10089,MER_005,FakeCompany,CUST_8631,Customer 89,cust89@example.com,14110.19,INR,netbanking,,,captured,,,2026-09-01 10:58:00,2026-09-01 10:58:54
TXN_10090,MER_004,TechCorp Inc,CUST_4569,Customer 90,cust90@example.com,5667.04,INR,card,RUPAY,4260,captured,,,2026-09-01 11:00:00,2026-09-01 11:00:18
TXN_10091,MER_004,TechCorp Inc,CUST_8558,Customer 91,cust91@example.com,2919.04,INR,wallet,,,captured,,,2026-09-01 11:02:00,2026-09-01 11:02:53
TXN_10092,MER_003,ApexRetail,CUST_7407,Customer 92,cust92@example.com,9694.24,INR,netbanking,,,captured,,,2026-09-01 11:04:00,2026-09-01 11:04:57
TXN_10093,MER_004,TechCorp Inc,CUST_7401,Customer 93,cust93@example.com,2510.79,INR,card,MASTERCARD,8126,captured,,,2026-09-01 11:06:00,2026-09-01 11:06:18
TXN_10094,MER_004,TechCorp Inc,CUST_4306,Customer 94,cust94@example.com,16095.91,INR,netbanking,,,captured,,,2026-09-01 11:08:00,2026-09-01 11:08:26
TXN_10095,MER_003,ApexRetail,CUST_7316,Customer 95,cust95@example.com,18476.2,INR,netbanking,,,captured,,,2026-09-01 11:10:00,2026-09-01 11:10:15
TXN_10096,MER_004,TechCorp Inc,CUST_4368,Customer 96,cust96@example.com,18844.67,INR,card,RUPAY,3388,captured,,,2026-09-01 11:12:00,2026-09-01 11:12:13
TXN_10097,MER_002,GreenLeaf Pharmacy,CUST_7565,Customer 97,cust97@example.com,2142.84,INR,netbanking,,,captured,,,2026-09-01 11:14:00,2026-09-01 11:14:51
TXN_10098,MER_003,ApexRetail,CUST_4716,Customer 98,cust98@example.com,10324.04,INR,upi,,,captured,,,2026-09-01 11:16:00,2026-09-01 11:16:13
TXN_10099,MER_003,ApexRetail,CUST_8103,Customer 99,cust99@example.com,4165.36,INR,wallet,,,captured,,,2026-09-01 11:18:00,2026-09-01 11:18:19
TXN_10100,MER_002,GreenLeaf Pharmacy,CUST_4568,Customer 100,cust100@example.com,16815.81,INR,upi,,,captured,,,2026-09-01 11:20:00,2026-09-01 11:20:23
TXN_10101,MER_004,TechCorp Inc,CUST_7265,Customer 101,cust101@example.com,11105.21,INR,card,RUPAY,9287,captured,,,2026-09-01 11:22:00,2026-09-01 11:22:15
TXN_10102,MER_001,QuickBites Restaurant,CUST_2617,Customer 102,cust102@example.com,14209.89,INR,wallet,,,captured,,,2026-09-01 11:24:00,2026-09-01 11:24:19
TXN_10103,MER_003,ApexRetail,CUST_5526,Customer 103,cust103@example.com,19507.71,INR,card,RUPAY,7885,captured,,,2026-09-01 11:26:00,2026-09-01 11:26:45
TXN_10104,MER_002,GreenLeaf Pharmacy,CUST_6230,Customer 104,cust104@example.com,6155.0,INR,upi,,,captured,,,2026-09-01 11:28:00,2026-09-01 11:28:19
TXN_10105,MER_003,ApexRetail,CUST_7054,Customer 105,cust105@example.com,20847.33,INR,upi,,,failed,ERR_01,Insufficient Funds,2026-09-01 11:30:00,
TXN_10106,MER_004,TechCorp Inc,CUST_2494,Customer 106,cust106@example.com,18852.13,INR,wallet,,,captured,,,2026-09-01 11:32:00,2026-09-01 11:32:30
TXN_10107,MER_003,ApexRetail,CUST_6118,Customer 107,cust107@example.com,11133.7,INR,wallet,,,captured,,,2026-09-01 11:34:00,2026-09-01 11:34:11
TXN_10108,MER_001,QuickBites Restaurant,CUST_3544,Customer 108,cust108@example.com,4992.95,INR,upi,,,captured,,,2026-09-01 11:36:00,2026-09-01 11:36:12
TXN_10109,MER_004,TechCorp Inc,CUST_1965,Customer 109,cust109@example.com,23550.8,INR,upi,,,captured,,,2026-09-01 11:38:00,2026-09-01 11:38:31
TXN_10110,MER_003,ApexRetail,CUST_9941,Customer 110,cust110@example.com,20971.12,INR,upi,,,captured,,,2026-09-01 11:40:00,2026-09-01 11:40:12
TXN_10111,MER_001,QuickBites Restaurant,CUST_8848,Customer 111,cust111@example.com,7897.99,INR,card,MASTERCARD,7512,captured,,,2026-09-01 11:42:00,2026-09-01 11:42:16
TXN_10112,MER_004,TechCorp Inc,CUST_1719,Customer 112,cust112@example.com,3223.92,INR,netbanking,,,captured,,,2026-09-01 11:44:00,2026-09-01 11:44:27
TXN_10113,MER_002,GreenLeaf Pharmacy,CUST_8170,Customer 113,cust113@example.com,13530.66,INR,wallet,,,captured,,,2026-09-01 11:46:00,2026-09-01 11:46:15
TXN_10114,MER_005,FakeCompany,CUST_1918,Customer 114,cust114@example.com,3748.78,INR,card,MASTERCARD,8439,captured,,,2026-09-01 11:48:00,2026-09-01 11:48:42
TXN_10115,MER_001,QuickBites Restaurant,CUST_1832,Customer 115,cust115@example.com,22233.01,INR,card,MASTERCARD,1011,captured,,,2026-09-01 11:50:00,2026-09-01 11:50:16
TXN_10116,MER_004,TechCorp Inc,CUST_2697,Customer 116,cust116@example.com,11479.11,INR,netbanking,,,captured,,,2026-09-01 11:52:00,2026-09-01 11:52:26
TXN_10117,MER_002,GreenLeaf Pharmacy,CUST_3193,Customer 117,cust117@example.com,14621.75,INR,netbanking,,,captured,,,2026-09-01 11:54:00,2026-09-01 11:54:54
TXN_10118,MER_004,TechCorp Inc,CUST_2814,Customer 118,cust118@example.com,6985.57,INR,upi,,,captured,,,2026-09-01 11:56:00,2026-09-01 11:56:40
TXN_10119,MER_004,TechCorp Inc,CUST_3373,Customer 119,cust119@example.com,12166.86,INR,wallet,,,captured,,,2026-09-01 11:58:00,2026-09-01 11:58:21
TXN_10120,MER_005,FakeCompany,CUST_9954,Customer 120,cust120@example.com,2488.09,INR,upi,,,captured,,,2026-09-01 12:00:00,2026-09-01 12:00:29
TXN_10121,MER_004,TechCorp Inc,CUST_5149,Customer 121,cust121@example.com,16859.15,INR,card,MASTERCARD,8682,captured,,,2026-09-01 12:02:00,2026-09-01 12:02:25
TXN_10122,MER_002,GreenLeaf Pharmacy,CUST_8296,Customer 122,cust122@example.com,12625.8,INR,card,MASTERCARD,6344,captured,,,2026-09-01 12:04:00,2026-09-01 12:04:26
TXN_10123,MER_001,QuickBites Restaurant,CUST_8079,Customer 123,cust123@example.com,9678.24,INR,card,RUPAY,2764,captured,,,2026-09-01 12:06:00,2026-09-01 12:06:52
TXN_10124,MER_002,GreenLeaf Pharmacy,CUST_6392,Customer 124,cust124@example.com,2725.53,INR,wallet,,,captured,,,2026-09-01 12:08:00,2026-09-01 12:08:43
TXN_10125,MER_001,QuickBites Restaurant,CUST_8043,Customer 125,cust125@example.com,13743.94,INR,netbanking,,,captured,,,2026-09-01 12:10:00,2026-09-01 12:10:25
TXN_10126,MER_002,GreenLeaf Pharmacy,CUST_3900,Customer 126,cust126@example.com,6446.07,INR,upi,,,captured,,,2026-09-01 12:12:00,2026-09-01 12:12:12
TXN_10127,MER_003,ApexRetail,CUST_5788,Customer 127,cust127@example.com,22953.54,INR,card,VISA,5017,captured,,,2026-09-01 12:14:00,2026-09-01 12:14:29
TXN_10128,MER_001,QuickBites Restaurant,CUST_7984,Customer 128,cust128@example.com,9161.41,INR,card,MASTERCARD,9347,captured,,,2026-09-01 12:16:00,2026-09-01 12:16:27
TXN_10129,MER_002,GreenLeaf Pharmacy,CUST_7534,Customer 129,cust129@example.com,14936.51,INR,card,VISA,6351,captured,,,2026-09-01 12:18:00,2026-09-01 12:18:36
TXN_10130,MER_005,FakeCompany,CUST_9247,Customer 130,cust130@example.com,6268.98,INR,netbanking,,,captured,,,2026-09-01 12:20:00,2026-09-01 12:20:25
TXN_10131,MER_005,FakeCompany,CUST_5495,Customer 131,cust131@example.com,861.56,INR,card,RUPAY,3692,captured,,,2026-09-01 12:22:00,2026-09-01 12:22:17
TXN_10132,MER_002,GreenLeaf Pharmacy,CUST_6941,Customer 132,cust132@example.com,7242.48,INR,upi,,,captured,,,2026-09-01 12:24:00,2026-09-01 12:24:54
TXN_10133,MER_005,FakeCompany,CUST_5044,Customer 133,cust133@example.com,13946.96,INR,netbanking,,,captured,,,2026-09-01 12:26:00,2026-09-01 12:26:50
TXN_10134,MER_004,TechCorp Inc,CUST_4097,Customer 134,cust134@example.com,913.02,INR,card,RUPAY,7342,captured,,,2026-09-01 12:28:00,2026-09-01 12:28:39
TXN_10135,MER_001,QuickBites Restaurant,CUST_2386,Customer 135,cust135@example.com,12912.1,INR,upi,,,captured,,,2026-09-01 12:30:00,2026-09-01 12:30:33
TXN_10136,MER_002,GreenLeaf Pharmacy,CUST_6204,Customer 136,cust136@example.com,16058.27,INR,wallet,,,captured,,,2026-09-01 12:32:00,2026-09-01 12:32:46
TXN_10137,MER_001,QuickBites Restaurant,CUST_6597,Customer 137,cust137@example.com,18752.08,INR,netbanking,,,captured,,,2026-09-01 12:34:00,2026-09-01 12:34:24
TXN_10138,MER_001,QuickBites Restaurant,CUST_3479,Customer 138,cust138@example.com,15403.03,INR,card,RUPAY,4778,captured,,,2026-09-01 12:36:00,2026-09-01 12:36:52
TXN_10139,MER_004,TechCorp Inc,CUST_5525,Customer 139,cust139@example.com,5625.34,INR,netbanking,,,captured,,,2026-09-01 12:38:00,2026-09-01 12:38:23
TXN_10140,MER_003,ApexRetail,CUST_1591,Customer 140,cust140@example.com,9621.37,INR,upi,,,captured,,,2026-09-01 12:40:00,2026-09-01 12:40:45
TXN_10141,MER_004,TechCorp Inc,CUST_3461,Customer 141,cust141@example.com,15206.75,INR,card,VISA,4150,captured,,,2026-09-01 12:42:00,2026-09-01 12:42:17
TXN_10142,MER_003,ApexRetail,CUST_9950,Customer 142,cust142@example.com,1834.66,INR,card,MASTERCARD,2077,captured,,,2026-09-01 12:44:00,2026-09-01 12:44:53
TXN_10143,MER_003,ApexRetail,CUST_2387,Customer 143,cust143@example.com,20760.51,INR,card,MASTERCARD,6881,captured,,,2026-09-01 12:46:00,2026-09-01 12:46:58
TXN_10144,MER_001,QuickBites Restaurant,CUST_1659,Customer 144,cust144@example.com,15192.25,INR,card,MASTERCARD,6614,captured,,,2026-09-01 12:48:00,2026-09-01 12:48:58
TXN_10145,MER_004,TechCorp Inc,CUST_7687,Customer 145,cust145@example.com,20198.96,INR,card,VISA,2612,captured,,,2026-09-01 12:50:00,2026-09-01 12:50:27
TXN_10146,MER_004,TechCorp Inc,CUST_8400,Customer 146,cust146@example.com,4293.36,INR,upi,,,captured,,,2026-09-01 12:52:00,2026-09-01 12:52:14
TXN_10147,MER_002,GreenLeaf Pharmacy,CUST_9725,Customer 147,cust147@example.com,14363.41,INR,netbanking,,,failed,ERR_01,Insufficient Funds,2026-09-01 12:54:00,
TXN_10148,MER_004,TechCorp Inc,CUST_3178,Customer 148,cust148@example.com,23380.2,INR,wallet,,,captured,,,2026-09-01 12:56:00,2026-09-01 12:56:10
TXN_10149,MER_001,QuickBites Restaurant,CUST_7259,Customer 149,cust149@example.com,17303.86,INR,upi,,,captured,,,2026-09-01 12:58:00,2026-09-01 12:58:20
TXN_10150,MER_001,QuickBites Restaurant,CUST_2738,Customer 150,cust150@example.com,13074.3,INR,wallet,,,captured,,,2026-09-01 13:00:00,2026-09-01 13:00:52
TXN_10151,MER_003,ApexRetail,CUST_1127,Customer 151,cust151@example.com,12889.25,INR,card,RUPAY,9331,captured,,,2026-09-01 13:02:00,2026-09-01 13:02:27
TXN_10152,MER_004,TechCorp Inc,CUST_4823,Customer 152,cust152@example.com,17332.72,INR,wallet,,,captured,,,2026-09-01 13:04:00,2026-09-01 13:04:16
TXN_10153,MER_003,ApexRetail,CUST_7003,Customer 153,cust153@example.com,19243.75,INR,upi,,,captured,,,2026-09-01 13:06:00,2026-09-01 13:06:24
TXN_10154,MER_003,ApexRetail,CUST_4954,Customer 154,cust154@example.com,14287.38,INR,upi,,,captured,,,2026-09-01 13:08:00,2026-09-01 13:08:13
TXN_10155,MER_003,ApexRetail,CUST_5583,Customer 155,cust155@example.com,11295.89,INR,wallet,,,captured,,,2026-09-01 13:10:00,2026-09-01 13:10:30
